Country,Come,Go
Canada,8001278,308724
United States,1228705,3637284
Algeria,6832836,339552
Angola,3705923,0
Burkina Faso,73134,464058
Burundi,72005,0
Cameroon,126160,163978
Chad,362689,235554
DR Congo,77956,211502
Egypt,63630,754304
Eritrea,79898,9808
Ethiopia,56096,601420
Ghana,60007,291726
Guinea,52053,591290
Ivory Coast,47148,941572
Kenya,157062,603948
Liberia,9514,27856
Libya,384717,132048
Malawi,34947,102010
Mali,43731,171102
Morocco,55787,1348582
Mozambique,1339,137860
Nigeria,5784,759126
Rwanda,138054,72676
Senegal,32679,241008
Sierra Leone,35222,26652
Somalia,73639,589548
South Africa,893,277366
South Sudan,128753,0
Sudan,1074320,1000504
Tanzania,366940,697648
Togo,26695,50452
Uganda,37603,394594
Zambia,50316,209652
Zimbabwe,13629,1723946
Albania,19388,137828
Austria,3135089,47658
Belgium,7428260,46110
Bosnia & Herzegovina,64347,53266
Bulgaria,187065,159584
Croatia,177610,28646
Czech Republic,25849,32568
Denmark,26616,29244
France,64262,1042548
Germany,232062,982308
Greece,688437,57606
Hungary,653392,4006
Ireland,859693,11088
Italy,125396,32800
Netherlands,61289,377262
Norway,967362,10380
Poland,1176150,95190
Portugal,234498,45122
Romania,158071,348782
Serbia,100254,233148
Spain,130333,3726
Sweden,169882,54170
Switzerland,832580,296466
United Kingdom,1468372,1281684
Armenia,387727,154212
Azerbaijan,817335,1684
Belarus,1098497,169738
Georgia,1949728,291258
Kazakhstan,44471,940604
Kyrgyzstan,14435,267542
Latvia,31966,33944
Lithuania,75574,93204
Moldova,368376,364000
Russia,6482,322374
Tajikistan,12460,590704
Ukraine,7960,614588
Uzbekistan,616214,1062738
Iraq,644262,306552
Israel,220495,167328
Jordan,53533,252216
Kuwait,888867,94768
Lebanon,6315922,170112
Oman,227039,35364
Palestine,222588,271572
Qatar,255299,626
Saudi Arabia,332362,463506
Syria,61833,585198
Turkey,194058,417500
United Arab Emirates,127838,339640
Yemen,799801,371902
Afghanistan,1342934,796410
Bangladesh,288395,5724768
India,482602,7099346
Iran,2864673,1133348
Nepal,17711,374994
Pakistan,1330687,3916182
Sri Lanka,20323,481662
China,695199,4007352
Hong Kong,393192,386404
Japan,206054,202522
South Korea,33534,795412
Brunei,54,109516
Cambodia,124312,507834
Indonesia,1202475,2546310
Malaysia,428089,1300284
Myanmar,286653,1017316
Philippines,462027,2414288
Singapore,812373,47372
Thailand,1608816,507240
Vietnam,11978,881120
Australia,16226,368170
New Zealand,662558,317998
Argentina,96592,788674
Bolivia,14462,413588
Brazil,733994,1066714
Chile,678281,187732
Colombia,20629,305100
Costa Rica,1289593,34930
Cuba,1272654,379306
Dominican Republic,346625,369238
Ecuador,344713,507654
El Salvador,802885,592622
Guatemala,215671,423644
Haiti,59592,453560
Honduras,41263,206388
Jamaica,107014,206122
Mexico,20279,4077660
Nicaragua,89389,393250
Paraguay,5315,168938
Peru,146751,1441946
Puerto Rico,26070,288196
Venezuela,11645,148798
