Country,Come,Go
Canada,6416337,416514
United States,817726,2511774
Algeria,5697587,117844
Angola,8470974,24
Burkina Faso,22877,540556
Burundi,126331,1046898
Cameroon,118591,41026
Chad,272980,74778
DR Congo,32144,0
Egypt,179100,2231162
Eritrea,1025733,729032
Ethiopia,16380,85470
Ghana,16625,8436
Guinea,782744,0
Ivory Coast,44706,351504
Kenya,1172534,154414
Liberia,255850,620028
Libya,292994,254150
Malawi,34605,1835932
Mali,98625,350600
Morocco,25901,910952
Mozambique,8677,39456
Nigeria,570013,254158
Rwanda,120164,2984704
Senegal,20032,117950
Sierra Leone,3160,905992
Somalia,8529,1784808
South Africa,776,1002
South Sudan,365483,2183048
Sudan,445798,5958
Tanzania,780500,61210
Togo,1012926,172146
Uganda,21206,925530
Zambia,579442,87362
Zimbabwe,27839,527232
Albania,81516,836336
Austria,1738215,10886
Belgium,6527341,61284
Bosnia & Herzegovina,38333,1930272
Bulgaria,231718,702114
Croatia,83525,348264
Czech Republic,774,63052
Denmark,312774,36956
France,20068,803470
Germany,54961,27392
Greece,272222,19946
Hungary,1120948,57632
Ireland,2785563,187866
Italy,143655,780770
Netherlands,109591,139960
Norway,351015,33444
Poland,349060,535516
Portugal,198959,207840
Romania,39942,1067020
Serbia,189411,46446
Spain,79136,157764
Sweden,429517,40534
Switzerland,225659,35798
United Kingdom,273178,865406
Armenia,247252,1058152
Azerbaijan,413554,246226
Belarus,320452,145692
Georgia,2715468,1066146
Kazakhstan,35953,3097580
Kyrgyzstan,16400,537770
Latvia,58727,322636
Lithuania,9591,195510
Moldova,42402,248690
Russia,16981,113162
Tajikistan,14035,580560
Ukraine,4283,458358
Uzbekistan,1756579,759558
Iraq,424697,361646
Israel,235760,56954
Jordan,129660,10022
Kuwait,1733510,1201148
Lebanon,1661776,2158
Oman,443821,46482
Palestine,293453,108190
Qatar,155486,108156
Saudi Arabia,163013,1596636
Syria,95405,142998
Turkey,112699,948416
United Arab Emirates,55276,219104
Yemen,439663,0
Afghanistan,250137,0
Bangladesh,277388,2413342
India,196431,2576436
Iran,881429,3117850
Nepal,435143,452780
Pakistan,6199738,4927464
Sri Lanka,4067911,505726
China,924813,1739532
Hong Kong,333335,225616
Japan,46352,168498
South Korea,872720,1404948
Brunei,80030,32076
Cambodia,55905,0
Indonesia,914138,1503812
Malaysia,270835,393134
Myanmar,211514,250874
Philippines,447479,1497938
Singapore,223337,106606
Thailand,873540,2194946
Vietnam,20549,674966
Australia,152724,395942
New Zealand,392553,74552
Argentina,149097,332792
Bolivia,45615,224984
Brazil,282527,397784
Chile,7236,1560
Colombia,14751,505212
Costa Rica,618636,46578
Cuba,559611,228268
Dominican Republic,174030,350526
Ecuador,253299,150410
El Salvador,613397,508834
Guatemala,157400,711170
Haiti,64919,262190
Honduras,69771,246096
Jamaica,38328,228166
Mexico,5423,3768638
Nicaragua,82763,227680
Paraguay,10209,98210
Peru,57887,601892
Puerto Rico,4458,146310
Venezuela,387,168750
