Country,Come,Go
Canada,8883966,256932
United States,1183227,3120012
Algeria,7732769,261438
Angola,3635276,0
Burkina Faso,71935,449848
Burundi,153662,3900
Cameroon,120304,124772
Chad,201258,0
DR Congo,60553,559968
Egypt,165456,823596
Eritrea,48817,932
Ethiopia,38242,696086
Ghana,228646,181660
Guinea,57035,849330
Ivory Coast,45456,1100552
Kenya,128812,229624
Liberia,30505,195634
Libya,128237,140260
Malawi,5195,93470
Mali,46185,151064
Morocco,63434,1235030
Mozambique,526,141768
Nigeria,9438,591980
Rwanda,148104,91856
Senegal,20795,230582
Sierra Leone,56827,0
Somalia,492052,399980
South Africa,4170,177600
South Sudan,130867,0
Sudan,770172,983896
Tanzania,245290,704942
Togo,20172,39658
Uganda,21738,296232
Zambia,129414,188386
Zimbabwe,11484,1341592
Albania,8683,194048
Austria,2864618,16664
Belgium,7972913,38740
Bosnia & Herzegovina,66002,32582
Bulgaria,224112,147828
Croatia,165187,63364
Czech Republic,83547,140312
Denmark,28753,54154
France,26177,845064
Germany,137204,901446
Greece,672199,36518
Hungary,679301,25304
Ireland,1048079,2906
Italy,121381,14208
Netherlands,97339,292040
Norway,886717,69168
Poland,1155886,459000
Portugal,243702,34138
Romania,106090,576190
Serbia,136174,617080
Spain,145451,2
Sweden,63901,89814
Switzerland,1164148,285838
United Kingdom,1647857,1124396
Armenia,314661,219958
Azerbaijan,762991,2922
Belarus,887982,90538
Georgia,2193527,602302
Kazakhstan,46190,1103084
Kyrgyzstan,18412,501282
Latvia,59919,52564
Lithuania,16272,105742
Moldova,282855,647578
Russia,5185,76500
Tajikistan,14535,840090
Ukraine,7780,826428
Uzbekistan,749357,1533866
Iraq,780887,1186386
Israel,161610,206884
Jordan,78821,466532
Kuwait,664455,100976
Lebanon,3748451,123234
Oman,133879,121900
Palestine,187331,468104
Qatar,43952,15962
Saudi Arabia,269109,190174
Syria,92966,0
Turkey,37366,522974
United Arab Emirates,38269,202570
Yemen,475714,297678
Afghanistan,1959632,0
Bangladesh,219683,3280914
India,135496,4954802
Iran,810843,286668
Nepal,165455,374914
Pakistan,2063160,3837190
Sri Lanka,936639,265316
China,589924,4614032
Hong Kong,172602,590370
Japan,253438,432642
South Korea,149798,888732
Brunei,51089,107584
Cambodia,68678,259506
Indonesia,959559,2343566
Malaysia,335133,689794
Myanmar,232190,2006644
Philippines,359414,2270670
Singapore,658751,156636
Thailand,1733941,188570
Vietnam,9575,893586
Australia,35193,478382
New Zealand,642299,201878
Argentina,119154,781548
Bolivia,13667,350340
Brazil,308747,1089786
Chile,1059975,159664
Colombia,31964,314126
Costa Rica,958841,33672
Cuba,890300,286612
Dominican Republic,286830,360472
Ecuador,287428,477850
El Salvador,758128,719874
Guatemala,204874,609258
Haiti,56463,319834
Honduras,40823,304622
Jamaica,90761,159782
Mexico,21843,5545544
Nicaragua,95558,408804
Paraguay,6120,194896
Peru,121775,1249220
Puerto Rico,21481,307196
Venezuela,8120,170132
